chr	chrom	nbases	total_bases
1	chr1	122678785	122678785
2	chr2	85426708	208105493
3	chr3	91889043	299994536
4	chr4	88276631	388271167
5	chr5	88915250	477186417
6	chr6	77573801	554760218
7	chr7	80974532	635734750
8	chr8	74330416	710065166
9	chr9	61074082	771139248
10	chr10	69331447	840470695
11	chr11	74389097	914859792
12	chr12	72498081	987357873
13	chr13	63241923	1050599796
14	chr14	60966679	1111566475
15	chr15	64190966	1175757441
16	chr16	59632846	1235390287
17	chr17	64289059	1299679346
18	chr18	55844845	1355524191
19	chr19	53741614	1409265805
20	chr20	58134056	1467399861
21	chr21	50858623	1518258484
22	chr22	61439934	1579698418
23	chr23	52294480	1631992898
24	chr24	47698779	1679691677
25	chr25	51628933	1731320610
26	chr26	38964690	1770285300
27	chr27	45876710	1816162010
28	chr28	41182112	1857344122
29	chr29	41845238	1899189360
30	chr30	40214260	1939403620
31	chr31	39895921	1979299541
32	chr32	38810281	2018109822
33	chr33	31377067	2049486889
34	chr34	42124431	2091611320
35	chr35	26524999	2118136319
36	chr36	30810995	2148947314
37	chr37	30902991	2179850305
38	chr38	23914537	2203764842
39	chrX	123869142	2327633984
41	PAR	6800000	NA
