chr	chr_lab	nbases	total_bases	chrom
1	1	249250621	249250621	chr1
2	2	243199373	492449994	chr2
3	3	198022430	690472424	chr3
4	4	191154276	881626700	chr4
5	5	180915260	1062541960	chr5
6	6	171115067	1233657027	chr6
7	7	159138663	1392795690	chr7
8	8	146364022	1539159712	chr8
9	9	141213431	1680373143	chr9
10	10	135534747	1815907890	chr10
11	11	135006516	1950914406	chr11
12	12	133851895	2084766301	chr12
13	13	115169878	2199936179	chr13
14	14	107349540	2307285719	chr14
15	15	102531392	2409817111	chr15
16	16	90354753	2500171864	chr16
17	17	81195210	2581367074	chr17
18	18	78077248	2659444322	chr18
19	19	59128983	2718573305	chr19
20	20	63025520	2781598825	chr20
21	21	48129895	2829728720	chr21
22	22	51304566	2881033286	chr22
23	X	155270560	3036303846	chrX
24	Y	59373566	3095677412	chrY
25	MT	16569	3095693981	chrMT
30	PAR1	2639520	NA	PAR1
31	PAR2	329517	NA	PAR2
